San Francisco Giants (5), New York Mets (6)
Houston Astros (0), Oakland Athletics (2)
Cleveland Indians (3), Philadelphia Phillies (4)
Cincinnati Reds (1), Pittsburgh Pirates (5)
Kansas City Royals (0), Seattle Mariners (6)
Washington Nationals (6), St. Louis Cardinals (1)
Toronto Blue Jays (3), Tampa Bay Rays (4)
LA Angels of Anaheim (2), Texas Rangers (7)
Colorado Rockies (6), Arizona D'Backs (3)
Chicago White Sox (7), Baltimore Orioles (1)
New York Yankees (7), Boston Red Sox (8)
Atlanta Braves (4), Chicago Cubs (3)
San Diego Padres (0), Los Angeles Dodgers (1)
Miami Marlins (5), Milwaukee Brewers (14)
Detroit Tigers (6), Minnesota Twins (5)
San Francisco Giants (6), New York Mets (1)
Houston Astros (2), Oakland Athletics (1)
Cleveland Indians (1), Philadelphia Phillies (2)
Cincinnati Reds (6), Pittsburgh Pirates (5)
Kansas City Royals (4), Seattle Mariners (1)
Washington Nationals (6), St. Louis Cardinals (1)
Toronto Blue Jays (5), Tampa Bay Rays (1)
LA Angels of Anaheim (9), Texas Rangers (6)
San Francisco Giants (9), Cincinnati Reds (6)
Minnesota Twins (6), Houston Astros (2)
Washington Nationals (2), Kansas City Royals (0)
LA Angels of Anaheim (5), Milwaukee Brewers (8)
Atlanta Braves (1), New York Mets (4)
Seattle Mariners (4), Oakland Athletics (3)
Chicago Cubs (7), Pittsburgh Pirates (2)
Colorado Rockies (1), San Diego Padres (2)
Philadelphia Phillies (3), St. Louis Cardinals (10)
Texas Rangers (2), Toronto Blue Jays (1)
New York Yankees (1), Baltimore Orioles (4)
Boston Red Sox (1), Chicago White Sox (4)
San Francisco Giants (3), Cincinnati Reds (1)
Detroit Tigers (3), Cleveland Indians (7)
Minnesota Twins (4), Houston Astros (6)
Washington Nationals (6), Kansas City Royals (7)
Arizona D'Backs (4), Miami Marlins (7)
LA Angels of Anaheim (4), Milwaukee Brewers (5)
Atlanta Braves (3), New York Mets (0)
Seattle Mariners (8), Oakland Athletics (2)
Chicago Cubs (7), Pittsburgh Pirates (1)
Colorado Rockies (3), San Diego Padres (6)
Philadelphia Phillies (1), St. Louis Cardinals (0)
Los Angeles Dodgers (10), Tampa Bay Rays (5)
Texas Rangers (1), Toronto Blue Jays (3)
New York Yankees (7), Baltimore Orioles (0)
Boston Red Sox (5), Chicago White Sox (2)
San Francisco Giants (4), Cincinnati Reds (7)
Detroit Tigers (0), Cleveland Indians (4)
Minnesota Twins (4), Houston Astros (16)
Washington Nationals (13), Kansas City Royals (2)
Arizona D'Backs (3), Miami Marlins (4)
LA Angels of Anaheim (7), Milwaukee Brewers (3)
Atlanta Braves (0), New York Mets (8)
Seattle Mariners (9), Oakland Athletics (8)
Chicago Cubs (6), Pittsburgh Pirates (2)
Colorado Rockies (2), San Diego Padres (0)
Philadelphia Phillies (4), St. Louis Cardinals (5)
Los Angeles Dodgers (5), Tampa Bay Rays (8)
Texas Rangers (3), Toronto Blue Jays (4)
New York Yankees (0), Baltimore Orioles (1)
Boston Red Sox (7), Chicago White Sox (3)
Washington Nationals (2), Chicago Cubs (5)
Milwaukee Brewers (5), Cincinnati Reds (9)
Detroit Tigers (4), Cleveland Indians (9)
Seattle Mariners (6), Houston Astros (3)
Arizona D'Backs (0), Miami Marlins (4)
New York Mets (3), San Diego Padres (5)
Colorado Rockies (17), San Francisco Giants (7)
Philadelphia Phillies (0), St. Louis Cardinals (4)
Texas Rangers (2), Toronto Blue Jays (12)
Tampa Bay Rays (5), LA Angels of Anaheim (2)
Arizona D'Backs (7), Atlanta Braves (2)
Minnesota Twins (4), Chicago White Sox (10)
Washington Nationals (6), Chicago Cubs (8)
Milwaukee Brewers (1), Cincinnati Reds (5)
Kansas City Royals (1), Cleveland Indians (7)
Texas Rangers (5), Detroit Tigers (1)
Seattle Mariners (3), Houston Astros (6)
Philadelphia Phillies (4), Miami Marlins (6)
Boston Red Sox (2), New York Yankees (3)
New York Mets (0), San Diego Padres (2)
Colorado Rockies (4), San Francisco Giants (6)
Pittsburgh Pirates (4), St. Louis Cardinals (2)
Los Angeles Dodgers (2), Toronto Blue Jays (5)
Tampa Bay Rays (4), LA Angels of Anaheim (2)
Arizona D'Backs (4), Atlanta Braves (2)
Oakland Athletics (8), Baltimore Orioles (4)
Oakland Athletics (2), Baltimore Orioles (5)
Minnesota Twins (2), Chicago White Sox (7)
Washington Nationals (5), Chicago Cubs (8)
Milwaukee Brewers (13), Cincinnati Reds (7)
Kansas City Royals (7), Cleveland Indians (0)
Texas Rangers (10), Detroit Tigers (5)
Seattle Mariners (3), Houston Astros (2)
Philadelphia Phillies (4), Miami Marlins (3)
Boston Red Sox (2), New York Yankees (8)
New York Mets (6), San Diego Padres (3)
Colorado Rockies (1), San Francisco Giants (2)
Pittsburgh Pirates (4), St. Louis Cardinals (6)
Los Angeles Dodgers (6), Toronto Blue Jays (2)
Tampa Bay Rays (3), LA Angels of Anaheim (1)
Arizona D'Backs (5), Atlanta Braves (3)
Oakland Athletics (3), Baltimore Orioles (11)
Minnesota Twins (1), Chicago White Sox (3)
Washington Nationals (3), Chicago Cubs (4)
Milwaukee Brewers (5), Cincinnati Reds (4)
Kansas City Royals (4), Cleveland Indians (5)
Texas Rangers (8), Detroit Tigers (3)
Seattle Mariners (1), Houston Astros (5)
Philadelphia Phillies (6), Miami Marlins (5)
Boston Red Sox (5), New York Yankees (1)
New York Mets (4), San Diego Padres (3)
Colorado Rockies (2), San Francisco Giants (0)
Pittsburgh Pirates (10), St. Louis Cardinals (5)
Los Angeles Dodgers (4), Toronto Blue Jays (2)
Oakland Athletics (7), Boston Red Sox (14)
Pittsburgh Pirates (2), Cincinnati Reds (3)
Arizona D'Backs (10), Colorado Rockies (5)
Cleveland Indians (1), Houston Astros (7)
New York Mets (4), Los Angeles Dodgers (2)
Milwaukee Brewers (1), Miami Marlins (4)
Kansas City Royals (3), New York Yankees (6)
Tampa Bay Rays (2), Seattle Mariners (5)
Toronto Blue Jays (3), San Francisco Giants (1)
Chicago White Sox (8), Texas Rangers (4)
Detroit Tigers (4), Washington Nationals (5)
St. Louis Cardinals (8), LA Angels of Anaheim (1)
Philadelphia Phillies (3), Atlanta Braves (2)
Oakland Athletics (5), Boston Red Sox (13)
San Diego Padres (7), Chicago Cubs (8)
Arizona D'Backs (5), Colorado Rockies (1)
Cleveland Indians (4), Houston Astros (0)
New York Mets (2), Los Angeles Dodgers (3)
Milwaukee Brewers (10), Miami Marlins (2)
Baltimore Orioles (5), Minnesota Twins (3)
Kansas City Royals (7), New York Yankees (10)
Tampa Bay Rays (4), Seattle Mariners (6)
Toronto Blue Jays (4), San Francisco Giants (0)
Chicago White Sox (11), Texas Rangers (13)
Detroit Tigers (5), Washington Nationals (4)
St. Louis Cardinals (5), LA Angels of Anaheim (2)
Philadelphia Phillies (1), Atlanta Braves (5)
Oakland Athletics (3), Boston Red Sox (13)
San Diego Padres (7), Chicago Cubs (4)
San Diego Padres (1), Chicago Cubs (0)
Pittsburgh Pirates (5), Cincinnati Reds (4)
Arizona D'Backs (7), Colorado Rockies (8)
Cleveland Indians (3), Houston Astros (5)
New York Mets (4), Los Angeles Dodgers (3)
Milwaukee Brewers (2), Miami Marlins (3)
Baltimore Orioles (9), Minnesota Twins (2)
Kansas City Royals (7), New York Yankees (3)
Tampa Bay Rays (5), Seattle Mariners (6)
Toronto Blue Jays (4), San Francisco Giants (5)
Chicago White Sox (5), Texas Rangers (6)
Detroit Tigers (2), Washington Nationals (3)
St. Louis Cardinals (12), LA Angels of Anaheim (10)
San Francisco Giants (4), Arizona D'Backs (2)
Philadelphia Phillies (7), Atlanta Braves (4)
Detroit Tigers (5), Baltimore Orioles (7)
Houston Astros (1), Boston Red Sox (11)
New York Mets (0), Los Angeles Dodgers (5)
San Diego Padres (3), Milwaukee Brewers (0)
Kansas City Royals (3), New York Yankees (7)
San Francisco Giants (3), Arizona D'Backs (1)
Detroit Tigers (0), Baltimore Orioles (1)
Houston Astros (7), Boston Red Sox (6)
Pittsburgh Pirates (4), Chicago Cubs (9)
Minnesota Twins (6), Cleveland Indians (7)
New York Mets (2), Colorado Rockies (5)
Atlanta Braves (1), Kansas City Royals (5)
St. Louis Cardinals (4), Los Angeles Dodgers (8)
San Diego Padres (0), Milwaukee Brewers (1)
Chicago White Sox (7), New York Yankees (1)
Cincinnati Reds (2), Philadelphia Phillies (3)
LA Angels of Anaheim (7), Seattle Mariners (6)
Oakland Athletics (6), Tampa Bay Rays (3)
Toronto Blue Jays (5), Texas Rangers (0)
Miami Marlins (3), Washington Nationals (5)
San Francisco Giants (5), Arizona D'Backs (3)
Detroit Tigers (3), Baltimore Orioles (9)
Houston Astros (5), Boston Red Sox (6)
Pittsburgh Pirates (2), Chicago Cubs (8)
Minnesota Twins (6), Cleveland Indians (3)
New York Mets (4), Colorado Rockies (7)
Atlanta Braves (5), Kansas City Royals (0)
St. Louis Cardinals (3), Los Angeles Dodgers (5)
San Diego Padres (8), Milwaukee Brewers (7)
Chicago White Sox (1), New York Yankees (2)
Cincinnati Reds (3), Philadelphia Phillies (4)
LA Angels of Anaheim (9), Seattle Mariners (7)
Oakland Athletics (0), Tampa Bay Rays (6)
Toronto Blue Jays (5), Texas Rangers (6)
Miami Marlins (4), Washington Nationals (6)
Miami Marlins (7), Washington Nationals (1)
San Francisco Giants (2), Arizona D'Backs (1)
Detroit Tigers (6), Baltimore Orioles (5)
Houston Astros (9), Boston Red Sox (10)
Pittsburgh Pirates (2), Chicago Cubs (1)
Minnesota Twins (5), Cleveland Indians (1)
New York Mets (3), Colorado Rockies (4)
Atlanta Braves (2), Kansas City Royals (4)
St. Louis Cardinals (5), Los Angeles Dodgers (2)
San Diego Padres (2), Milwaukee Brewers (3)
Chicago White Sox (5), New York Yankees (7)
Cincinnati Reds (9), Philadelphia Phillies (4)
LA Angels of Anaheim (3), Seattle Mariners (0)
Oakland Athletics (7), Tampa Bay Rays (6)
Toronto Blue Jays (6), Texas Rangers (7)
Miami Marlins (5), Washington Nationals (1)
New York Yankees (2), Arizona D'Backs (12)
Cincinnati Reds (6), Cleveland Indians (15)
Minnesota Twins (8), Detroit Tigers (10)
LA Angels of Anaheim (7), Los Angeles Dodgers (6)
Texas Rangers (1), Oakland Athletics (3)
Miami Marlins (5), Philadelphia Phillies (3)
Atlanta Braves (5), Pittsburgh Pirates (8)
Tampa Bay Rays (13), Toronto Blue Jays (2)
New York Yankees (3), Arizona D'Backs (5)
Seattle Mariners (10), Baltimore Orioles (0)
Houston Astros (6), Chicago White Sox (5)
Cincinnati Reds (1), Cleveland Indians (13)
Minnesota Twins (2), Detroit Tigers (7)
Boston Red Sox (4), Kansas City Royals (8)
LA Angels of Anaheim (1), Los Angeles Dodgers (5)
Chicago Cubs (2), Milwaukee Brewers (4)
Washington Nationals (0), New York Mets (2)
Texas Rangers (5), Oakland Athletics (8)
Miami Marlins (1), Philadelphia Phillies (3)
Atlanta Braves (9), Pittsburgh Pirates (12)
San Francisco Giants (5), San Diego Padres (1)
Colorado Rockies (3), St. Louis Cardinals (1)
Tampa Bay Rays (12), Toronto Blue Jays (2)
Los Angeles Dodgers (1), LA Angels of Anaheim (8)
New York Yankees (4), Arizona D'Backs (2)
Seattle Mariners (2), Baltimore Orioles (5)
Houston Astros (5), Chicago White Sox (3)
Cleveland Indians (8), Cincinnati Reds (7)
Minnesota Twins (3), Detroit Tigers (6)
